  ,C16:0,C16:1w9,C16:1w7,C17:0,C17:1w8,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:3w3,C20:0,C20:1w9,C22:0,C24:0,Squalene 
AP15 ,14.31,0.11,1.05,0.09,0.16,2.32,67.49,2.48,10.7,0.55,0.37,0.2,0.12,0.05,0.58 
AP16 ,14.34,0.1,1.01,0.07,0.12,2.35,67.35,2.44,10.99,0.51,0.36,0.2,0.11,0.05,0.59 
AP17 ,13.22,0.12,1.02,0.13,0.26,2.2,71.4,2.51,7.9,0.52,0.35,0.21,0.11,0.05,0.68 
AP18 ,14.47,0.1,1.13,0.7,0.12,2.09,67.79,2.73,10.2,0.57,0.34,0.22,0.11,0.06,0.65 
AP19 ,13.59,0.11,1.058,0.08,0.16,2.11,69.07,2.61,9.9,0.59,0.34,0.23,0.11,0.05,0.62 
AP21 ,13.23,0.1,0.99,0.1,0.18,2.18,70.53,2.41,8.97,0.59,0.34,0.22,0.11,0.05,0.67 
AP22 ,13.27,0.13,0.97,0.12,0.21,2.62,67.44,2.35,11.44,0.6,0.43,0.24,0.12,0.06,0.61 
AP23 ,12.52,0.13,0.95,0.15,0.28,2.52,70.55,2.36,9.06,0.62,0.43,0.26,0.12,0.05,0.77 
AP24 ,12.9,0.14,0.88,0.1,0.18,2.73,67.14,2.23,12.21,0.61,0.45,0.25,0.13,0.05,0.61 
AP25 ,12.55,0.15,0.89,0.16,0.28,2.65,69.25,2.28,10.27,0.64,0.45,0.25,0.13,0.05,0.69 
AP26 ,12.03,0.14,0.87,0.14,0.26,2.44,71.56,2.29,8.75,0.65,0.42,0.27,0.13,0.05,0.8 
AP27 ,13.51,0.13,1.23,0.12,0.23,2.47,67.72,2.66,10.45,0.64,0.42,0.25,0.12,0.05,0.72 
AP28 ,12.81,0.14,0.94,0.14,0.24,2.67,69.55,2.32,9.62,0.66,0.46,0.26,0.13,0.06,0.76 
AP29 ,14.57,0.12,1.17,0.16,0.27,2.73,66.81,2.51,10.2,0.6,0.43,0.25,0.12,0.06,0.7 
AP30 ,14.3,0.12,1.13,0.11,0.2,2.56,67.08,2.55,10.43,0.64,0.43,0.26,0.13,0.06,0.68 
AP31 ,13.95,0.16,1.43,0.11,0.23,2.27,69.3,2.87,8.26,0.62,0.38,0.25,0.12,0.05,0.72 
AP32 ,15.33,0.12,1.23,0.09,0.16,2.71,63.61,2.58,12.7,0.6,0.44,0.24,0.13,0.06,0.64 
AP33 ,13.85,0.13,1.08,0.14,0.25,2.59,68.38,2.48,9.61,0.63,0.42,0.26,0.13,0.05,0.74 
AP35 ,14.42,0.13,1.2,0.11,0.21,2.42,66.13,2.76,11.06,0.68,0.42,0.27,0.13,0.06,0.79 
AP36 ,14.92,0.12,1.24,0.1,0.17,2.54,65.37,2.66,11.45,0.59,0.42,0.24,0.12,0.06,0.7 
AP37 ,13.49,0.14,0.97,0.14,0.25,2.76,67.84,2.27,10.53,0.69,0.45,0.27,0.14,0.06,0.67 
AP50 ,12.52,0.12,1.01,0.13,0.23,2.44,70.5,2.5,9.04,0.65,0.41,0.27,0.12,0.06,0.87 
AP501,13.44,0.12,1.05,0.1,0.16,2.57,67.89,2.54,10.65,0.59,0.44,0.26,0.12,0.07,0.72 
AP502,14.2,0.12,1.24,0.13,0.21,2.68,66.27,2.65,11.02,0.6,0.45,0.25,0.12,0.06,0.7 
AP503,14.05,0.11,1.09,0.1,0.16,2.68,66.32,2.56,11.47,0.57,0.45,0.25,0.12,0.07,0.75 
AP53 ,14.08,0.11,1.07,0.1,0.16,2.69,66.28,2.53,11.52,0.56,0.46,0.25,0.12,0.06,0.73 
AP59 ,13.45,0.11,1.1,0.12,0.21,2.56,68.86,2.61,9.53,0.55,0.44,0.26,0.13,0.07,0.85 
AP61 ,14.09,0.11,1,0.06,0.1,2.63,65.06,2.43,13.12,0.51,0.44,0.25,0.13,0.07,0.62 
HP01 ,12.42,0.11,0.88,0.16,0.33,2.15,74.69,2.41,5.66,0.5,0.33,0.21,0.11,0.04,0.78 
HP02 ,12.25,0.11,0.82,0.17,0.31,2.31,74.78,2.29,5.75,0.5,0.34,0.21,0.11,0.05,0.73 
HP03 ,12.06,0.09,0.7,0.09,0.17,2.07,74.89,2.24,6.4,0.58,0.33,0.23,0.11,0.04,0.68 
HP04 ,12.7,0.1,0.86,0.15,0.28,2.19,74.65,2.34,5.58,0.47,0.33,0.2,0.11,0.04,0.75 
HP05 ,12.2,0.12,0.87,0.17,0.31,2.32,74.11,2.21,6.49,0.5,0.35,0.2,0.11,0.04,0.64 
HP06 ,12.34,0.12,0.88,0.16,0.31,2.27,74.08,2.28,6.35,0.5,0.35,0.2,0.12,0.04,0.66 
HP07 ,13.05,0.12,0.98,0.17,0.33,2.32,72.98,2.43,6.43,0.48,0.35,0.2,0.11,0.05,0.71 
HP08 ,12.49,0.12,0.95,0.14,0.28,2.12,74.38,2.53,5.85,0.46,0.33,0.2,0.1,0.05,0.77 
HP09 ,12.01,0.13,0.85,0.16,0.32,2.17,74.99,2.37,5.79,0.51,0.34,0.21,0.1,0.05,0.78 
HP10 ,12.27,0.12,0.88,0.16,0.29,2.19,74.22,2.29,6.43,0.47,0.33,0.2,0.11,0.04,0.65 
HP11 ,12.45,0.12,0.89,0.17,0.31,2.29,73.68,2.27,6.59,0.52,0.35,0.2,0.11,0.05,0.68 
HP12 ,11.88,0.14,0.84,0.16,0.33,2.11,74.8,2.45,5.97,0.58,0.36,0.22,0.11,0.05,0.91 
HP13 ,12.12,0.12,0.88,0.14,0.3,2.09,74.67,2.47,6.01,0.5,0.34,0.21,0.1,0.05,0.76 
HP14 ,12.07,0.12,0.83,0.17,0.32,2.23,74.94,2.32,5.8,0.49,0.34,0.21,0.11,0.05,0.75 
HP15 ,12.3,0.13,0.91,0.17,0.33,2.26,73.82,2.29,6.59,0.5,0.35,0.2,0.11,0.04,0.65 
HP16 ,12.49,0.13,0.86,0.15,0.31,2.14,74.08,2.39,6.24,0.51,0.34,0.21,0.1,0.05,0.78 
HP18 ,13.02,0.12,0.89,0.17,0.32,2.4,72.61,2.21,6.99,0.5,0.36,0.19,0.11,0.05,0.68 
HP19 ,12.74,0.11,1.07,0.13,0.28,1.99,73.88,2.6,6.05,0.48,0.32,0.2,0.11,0.04,0.72 
HP21 ,11.17,0.13,0.8,0.16,0.33,2.44,74.65,2.19,6.85,0.51,0.38,0.23,0.11,0.05,0.78 
HP22 ,11.1,0.14,0.79,0.18,0.36,2.4,74.67,2.2,6.81,0.55,0.39,0.25,0.11,0.05,0.82 
HP23 ,10.99,0.14,0.8,0.15,0.32,2.4,74.39,2.19,7.28,0.56,0.38,0.24,0.11,0.05,0.78 
HP24 ,10.53,0.14,0.71,0.14,0.29,2.41,74.76,2.06,7.56,0.59,0.39,0.26,0.11,0.05,0.77 
HP25 ,10.82,0.15,0.8,0.16,0.33,2.35,74.79,2.23,7.03,0.55,0.38,0.25,0.11,0.05,0.78 
HP26 ,10.87,0.15,0.78,0.16,0.33,2.39,74.95,2.18,6.85,0.55,0.38,0.25,0.11,0.05,0.81 
HP291,11.64,0.13,0.79,0.21,0.38,2.71,74.32,2,6.45,0.53,0.42,0.26,0.12,0.04,0.78 
HP292,12.29,0.14,0.94,0.16,0.32,2.41,72.42,2.43,7.44,0.62,0.4,0.26,0.12,0.05,0.87 
HP293,12.37,0.14,0.95,0.17,0.33,2.47,72.22,2.42,7.53,0.59,0.4,0.25,0.12,0.04,0.85 
HP294,11.95,0.12,0.89,0.15,0.3,2.48,74.54,2.28,5.97,0.52,0.39,0.25,0.12,0.04,0.82 
HP295,12.8,0.14,1.04,0.18,0.37,2.43,72.1,2.51,7.1,0.54,0.39,0.24,0.12,0.04,0.75 
HP296,11.34,0.14,0.9,0.17,0.37,2.32,74.37,2.44,6.58,0.57,0.38,0.26,0.12,0.04,0.67 
HP297,11.88,0.15,0.88,0.16,0.32,2.4,73.62,2.34,6.84,0.61,0.39,0.25,0.12,0.04,0.69 
HP31 ,11.44,0.13,0.85,0.19,0.39,2.38,74.83,2.39,6.04,0.55,0.41,0.26,0.09,0.05,0.85 
HP33 ,11.72,0.14,0.92,0.17,0.32,2.49,73.24,2.32,7.28,0.57,0.41,0.25,0.12,0.05,0.76 
HP34 ,11.47,0.15,0.94,0.19,0.35,2.57,73.72,2.33,6.92,0.54,0.41,0.24,0.12,0.05,0.72 
HP35 ,11.63,0.14,0.9,0.21,0.4,2.44,74.25,2.39,6.25,0.55,0.41,0.25,0.12,0.06,0.76 
HP361,11.25,0.14,0.85,0.17,0.36,2.35,75.14,2.4,5.95,0.55,0.4,0.26,0.12,0.05,0.84 
NI13 ,11.31,0.11,0.9,0.05,0.11,1.88,74.43,2.6,7.2,0.59,0.35,0.3,0.12,0.05,0.51 
NI14 ,10.26,0.14,0.74,0.05,0.11,1.96,76.88,2.34,5.99,0.66,0.37,0.32,0.12,0.06,0.61 
NI15 ,10.09,0.1,0.55,0.09,0.16,2.06,76.19,2.02,7.3,0.58,0.38,0.3,0.13,0.05,0.64 
NI18 ,9.31,0.11,0.41,0.05,0.08,1.9,79.44,1.77,5.52,0.58,0.35,0.32,0.11,0.05,0.43 
NI19 ,9.76,0.12,0.48,0.04,0.08,1.75,78.56,2.02,5.76,0.58,0.34,0.35,0.11,0.05,0.46 
NI20 ,10.52,0.1,0.58,0.04,0.08,1.84,77.01,2.19,6.21,0.58,0.35,0.33,0.11,0.06,0.42 
NI21 ,10.01,0.11,0.53,0.04,0.07,1.97,78.31,2.01,5.47,0.62,0.37,0.32,0.12,0.05,0.39 
NI22 ,11.57,0.1,0.82,0.04,0.08,1.93,73.04,2.67,8.33,0.62,0.34,0.3,0.11,0.05,0.36 
NI23 ,9.16,0.11,0.39,0.05,0.08,1.87,79.44,1.72,5.74,0.6,0.35,0.32,0.12,0.05,0.47 
NI24 ,9.99,0.11,0.53,0.04,0.09,1.64,77.33,2.22,6.66,0.55,0.33,0.35,0.11,0.05,0.44 
NI25 ,10.47,0.1,0.56,0.04,0.09,1.75,76.34,2.22,7.04,0.56,0.34,0.33,0.11,0.05,0.41 
NI27 ,9.94,0.11,0.52,0.05,0.1,2.3,76.95,1.98,6.6,0.6,0.39,0.3,0.12,0.04,0.4 
NI28 ,10.97,0.1,0.68,0.05,0.1,2.29,74.31,2.24,7.8,0.6,0.38,0.31,0.12,0.05,0.4 
NI30 ,11.55,0.11,0.69,0.05,0.11,2.17,74.06,2.34,7.42,0.62,0.38,0.32,0.12,0.06,0.38 
NI31 ,10.18,0.1,0.56,0.05,0.1,2.24,76.35,2.05,6.96,0.58,0.37,0.29,0.13,0.04,0.49 
NI32 ,10.26,0.1,0.56,0.08,0.15,2.35,75.96,1.9,7.22,0.56,0.39,0.29,0.13,0.05,0.49 
NI33 ,10.22,0.1,0.58,0.05,0.1,2.17,76.31,2.05,7.04,0.55,0.36,0.3,0.12,0.05,0.48 
NI34 ,10.52,0.1,0.6,0.05,0.1,2.14,76.37,2.2,6.48,0.59,0.38,0.31,0.12,0.04,0.42 
NI332,9.79,0.11,0.51,0.06,0.11,1.99,77.32,2.11,6.51,0.6,0.37,0.34,0.13,0.05,0.49 
NI333,10.36,0.1,0.64,0.05,0.1,2.14,76.02,2.33,6.79,0.61,0.38,0.31,0.13,0.04,0.42 
NI35 ,10.01,0.11,0.54,0.05,0.1,1.82,76.81,2.3,6.81,0.56,0.36,0.36,0.12,0.05,0.5 
NI37 ,9.32,0.09,0.48,0.05,0.08,2.24,79.18,1.85,5.26,0.56,0.4,0.31,0.13,0.05,0.54 
NI39 ,11.8,0.11,0.91,0.09,0.18,2.03,74.07,2.64,6.62,0.61,0.41,0.33,0.14,0.06,0.4 
NI40 ,10.01,0.11,0.57,0.05,0.1,1.93,77.99,2.24,5.41,0.64,0.39,0.37,0.13,0.06,0.46 
NI41 ,10.81,0.1,0.66,0.05,0.09,2.04,76.01,2.35,6.43,0.54,0.39,0.34,0.13,0.06,0.52 
NI42 ,9.35,0.1,0.42,0.05,0.1,1.83,78.94,1.93,5.77,0.58,0.37,0.37,0.13,0.06,0.6 
NI45 ,10.19,0.09,0.6,0.04,0.09,1.98,76.34,2.33,7.01,0.5,0.36,0.32,0.1,0.05,0.5 
NI47 ,9.01,0.1,0.37,0.05,0.09,2.14,79.65,1.7,5.4,0.58,0.4,0.33,0.13,0.05,0.53 
NM04 ,11.55,0.14,0.63,0.06,0.09,2.34,72.67,1.95,8.85,0.88,0.38,0.31,0.1,0.05,0.59 
NM05 ,11.83,0.15,1.14,0.13,0.28,2.11,73.78,2.82,6.23,0.75,0.36,0.28,0.1,0.04,0.49 
NM06 ,13.05,0.17,1.1,0.15,0.29,2.32,67.57,2.6,11.05,0.9,0.39,0.25,0.11,0.05,0.59 
NM07 ,11.11,0.13,0.66,0.06,0.11,2.41,73.49,1.94,8.49,0.76,0.38,0.31,0.1,0.05,0.54 
